利用日,利用店名・商品名,利用者,支払,利用金額,手数料,支払総額,当月支払,翌月以降
,※1,※2,区分,,,,金額,繰越残高
,,,※3,,,,,
2016,ﾔﾌ-ｳｫﾚｯﾄｹｯｻｲ ﾛﾊｺ(ｱｽｸ,本人*,1回,"6,048",0,"6,048","6,048",0
6月4日,,,,,,,,
2016,ﾔﾌ-ｳｫﾚｯﾄｹｯｻｲ ﾛﾊｺ(ｱｽｸ,本人*,1回,"4,800",0,"4,800","4,800",0
6月13日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾔﾔﾖ,本人*,1回,"10,760",0,"10,760","10,760",0
6月21日,,,,,,,,
2016,ﾔﾌ-ｳｫﾚｯﾄｹｯｻｲ ﾛﾊｺ(ｱｽｸ,本人*,1回,"6,048",0,"6,048","6,048",0
6月22日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾄｲｻﾞﾗｽﾍﾞ,本人*,1回,"4,846",0,"4,846","4,846",0
6月26日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾆﾝｷﾞｮｳﾄﾍ,本人*,1回,"19,040",0,"19,040","19,040",0
6月27日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｹﾞｯﾄﾌﾟﾗｽ,本人*,1回,"11,958",0,"11,958","11,958",0
6月28日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾅｽｶﾝ,本人*,1回,"4,355",0,"4,355","4,355",0
6月29日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾄｲｻﾞﾗｽﾍﾞ,本人*,1回,"6,729",0,"6,729","6,729",0
6月29日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｺｸｻﾝﾘｮｳﾋ,本人*,1回,"18,140",0,"18,140","18,140",0
6月29日,,,,,,,,
回数指定払い小計,,,,,,,"92,724",0
