"利用日","新規サイン","利用者","利用店名・商品名","支払方法","利用金額","支払手数料","支払総額","支払回数/何回目","当月請求額","翌月繰越残高"
"16.01.20","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",6810,0,6810,"'1/1",6810,0
"16.01.20","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",10672,0,10672,"'1/1",10672,0
"16.01.20","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5841,0,5841,"'1/1",5841,0
"16.01.20","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5841,0,5841,"'1/1",5841,0
"16.01.20","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",11466,0,11466,"'1/1",11466,0
"16.01.20","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5998,0,5998,"'1/1",5998,0
"16.01.20","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5841,0,5841,"'1/1",5841,0
"16.01.19","*","本人","AMAZON.CO.JP","'S/1",1890,0,1890,"'1/1",1890,0
"16.01.19","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",4626,0,4626,"'1/1",4626,0
"16.01.18","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",450,0,450,"'1/1",450,0
"16.01.17","*","本人","コ－ナン　本羽田萩中店","'S/1",1183,0,1183,"'1/1",1183,0
"16.01.17","*","本人","ｲﾇｼﾞﾙｼﾎﾝﾎﾟ","'S/1",6264,0,6264,"'1/1",6264,0
"16.01.16","*","本人","ｸﾞﾗﾝﾃﾞﾕｵ","'S/1",691,0,691,"'1/1",691,0
"16.01.16","*","本人","ｸﾞﾗﾝﾃﾞﾕｵ","'S/1",1728,0,1728,"'1/1",1728,0
"16.01.16","*","本人","ｸﾞﾗﾝﾃﾞﾕｵ","'S/1",637,0,637,"'1/1",637,0
"16.01.16","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",8137,0,8137,"'1/1",8137,0
"16.01.15","*","本人","AMAZON.CO.JP","'S/1",1180,0,1180,"'1/1",1180,0
"16.01.14","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",4290,0,4290,"'1/1",4290,0
"16.01.14","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",5720,0,5720,"'1/1",5720,0
"16.01.14","*","本人","ｳｴﾙｼｱｵｵﾀﾊｷﾞﾅｶV/M","'S/1",10695,0,10695,"'1/1",10695,0
"16.01.14","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",6429,0,6429,"'1/1",6429,0
"16.01.14","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5362,0,5362,"'1/1",5362,0
"16.01.14","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5645,0,5645,"'1/1",5645,0
"16.01.14","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5253,0,5253,"'1/1",5253,0
"16.01.14","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",4763,0,4763,"'1/1",4763,0
"16.01.14","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",4861,0,4861,"'1/1",4861,0
"16.01.14","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5487,0,5487,"'1/1",5487,0
"16.01.14","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5595,0,5595,"'1/1",5595,0
"16.01.14","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5206,0,5206,"'1/1",5206,0
"16.01.14","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5595,0,5595,"'1/1",5595,0
"16.01.14","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",6264,0,6264,"'1/1",6264,0
"16.01.14","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",6480,0,6480,"'1/1",6480,0
"16.01.14","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",6480,0,6480,"'1/1",6480,0
"16.01.13","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",10239,0,10239,"'1/1",10239,0
"16.01.13","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",4567,0,4567,"'1/1",4567,0
