"利用日","新規サイン","利用者","利用店名・商品名","支払方法","利用金額","支払手数料","支払総額","支払回数/何回目","当月請求額","翌月繰越残高"
"16.03.30","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",7252,0,7252,"'1/1",7252,0
"16.03.30","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",18522,0,18522,"'1/1",18522,0
"16.03.29","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",199,0,199,"'1/1",199,0
"16.03.29","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",420,0,420,"'1/1",420,0
"16.03.28","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",1690,0,1690,"'1/1",1690,0
"16.03.28","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",159,0,159,"'1/1",159,0
"16.03.28","*","本人","ﾃﾞﾝｼｼﾖｳﾄﾘﾋｷﾖﾄﾞﾊﾞｼ","'S/1",55,0,55,"'1/1",55,0
"16.03.28","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",10486,0,10486,"'1/1",10486,0
"16.03.28","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",10976,0,10976,"'1/1",10976,0
"16.03.18","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5488,0,5488,"'1/1",5488,0
"16.03.18","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5096,0,5096,"'1/1",5096,0
"16.03.10","*","本人","アカチャンホンポ楽天市場店","'S/1",5920,0,5920,"'1/1",5920,0
"16.03.07","*","本人","ベビー用品子供服ぽこあぽこ","'S/1",11932,0,11932,"'1/1",11932,0
"16.03.02","*","本人","アイウィル　イズミヤ","'S/1",652,0,652,"'1/1",652,0
