利用日,利用店名・商品名,利用者,支払,利用金額,手数料,支払総額,当月支払,翌月以降
,※1,※2,区分,,,,金額,繰越残高
,,,※3,,,,,
2016,ヤフージャパン,本人*,1回,498,0,498,498,0
3月31日,,,,,,,,
2016,ﾔﾌ-ｳｫﾚｯﾄｹｯｻｲ ﾛﾊｺ(ｱｽｸ,本人*,1回,"7,673",0,"7,673","7,673",0
4月1日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｵｵｷﾆﾅｯﾄｸ,本人*,1回,"7,627",0,"7,627","7,627",0
4月7日,,,,,,,,
2016,ﾔﾌ-ｳｫﾚｯﾄｹｯｻｲ ﾛﾊｺ(ｱｽｸ,本人*,1回,"6,048",0,"6,048","6,048",0
4月7日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾄｲｻﾞﾗｽﾍﾞ,本人*,1回,"5,524",0,"5,524","5,524",0
4月8日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾄｲｻﾞﾗｽﾍﾞ,本人*,1回,"46,081",0,"46,081","46,081",0
4月11日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾄｲｻﾞﾗｽﾍﾞ,本人*,1回,"12,510",0,"12,510","12,510",0
4月11日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾄｲｻﾞﾗｽﾍﾞ,本人*,1回,"32,606",0,"32,606","32,606",0
4月11日,,,,,,,,
2016,ﾔﾌ-ｳｫﾚｯﾄｹｯｻｲ ﾛﾊｺ(ｱｽｸ,本人*,1回,"6,048",0,"6,048","6,048",0
4月19日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾄｲｻﾞﾗｽﾍﾞ,本人*,1回,"10,698",0,"10,698","10,698",0
4月19日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾏﾀﾆﾃｨｼﾞｭ,本人*,1回,"7,908",0,"7,908","7,908",0
4月20日,,,,,,,,
2016,ﾔﾌｰ･ｼｮｯﾋﾟﾝｸﾞ ｱｶﾙｲｶﾃｲ,本人*,1回,"5,860",0,"5,860","5,860",0
4月20日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾏﾀﾆﾃｨｼﾞｭ,本人*,1回,"7,908",0,"7,908","7,908",0
4月20日,,,,,,,,
回数指定払い小計,,,,,,,"156,989",0
