"利用日","新規サイン","利用者","利用店名・商品名","支払方法","利用金額","支払手数料","支払総額","支払回数/何回目","当月請求額","翌月繰越残高"
"16.03.26","*","本人","ﾏｲﾊﾞｽｹｯﾄ ｶﾝﾊﾟﾁｶﾏﾀ","'S/1",620,0,620,"'1/1",620,0
"16.03.25","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",6548,0,6548,"'1/1",6548,0
"16.03.25","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",10149,0,10149,"'1/1",10149,0
"16.03.24","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",5096,0,5096,"'1/1",5096,0
"16.03.24","*","本人","ﾍﾞﾂﾀﾍﾞﾋﾞｰｽﾄｱ","'S/1",6076,0,6076,"'1/1",6076,0
"16.03.19","*","本人","ｸﾞﾗﾝﾃﾞﾕｵ","'S/1",2450,0,2450,"'1/1",2450,0
"16.03.19","*","本人","ｸﾞﾗﾝﾃﾞﾕｵ","'S/1",1706,0,1706,"'1/1",1706,0
"16.03.18","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",1291,0,1291,"'1/1",1291,0
"16.03.18","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",216,0,216,"'1/1",216,0
"16.03.16","*","本人","ﾄｳﾎｳﾀﾞｲｶﾞｸｲﾘﾖｳｾﾝﾀ","'S/1",220,0,220,"'1/1",220,0
"16.03.15","*","本人","ﾖﾄﾞﾊﾞｼｶﾒﾗﾏﾙﾁﾒﾃﾞｲｱ","'S/1",3156,0,3156,"'1/1",3156,0
"16.03.14","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",1368,0,1368,"'1/1",1368,0
"16.03.14","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",4378,0,4378,"'1/1",4378,0
"16.03.13","*","本人","セブン－イレブン","'S/1",728,0,728,"'1/1",728,0
"16.03.06","*","本人","ｻﾝﾄﾞﾗﾂｸﾞ","'S/1",1239,0,1239,"'1/1",1239,0
"16.03.06","*","本人","ﾏﾙｴﾂ ｼﾝｺｳｼﾞﾔﾃﾝ","'S/1",3045,0,3045,"'1/1",3045,0
"16.03.04","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",3499,0,3499,"'1/1",3499,0
"16.03.04","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",646,0,646,"'1/1",646,0
"16.03.02","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",3751,0,3751,"'1/1",3751,0
"16.03.02","*","本人","ｵ-ｹ- ｻｶﾞﾝﾃﾝ","'S/1",1283,0,1283,"'1/1",1283,0
"16.03.01","*","本人","ﾄｳﾎｳﾀﾞｲｶﾞｸｲﾘﾖｳｾﾝﾀ","'S/1",15740,0,15740,"'1/1",15740,0
