利用日,利用店名・商品名,利用者,支払,利用金額,手数料,支払総額,当月支払,翌月以降
,※1,※2,区分,,,,金額,繰越残高
,,,※3,,,,,
2015,ヤフージャパン,本人*,1回,410,0,410,410,0
12月31日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｱｷﾊﾞｵｰﾔﾌ,本人*,1回,"11,404",0,"11,404","11,404",0
1月8日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾅｲﾄｳｶﾅﾓﾉ,本人*,1回,"20,300",0,"20,300","20,300",0
1月13日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｸﾗｼﾔ,本人*,1回,"11,880",0,"11,880","11,880",0
1月14日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｴｽｼｰﾋﾞｰ,本人*,1回,"5,261",0,"5,261","5,261",0
1月15日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾄｲｻﾞﾗｽﾍﾞ,本人*,1回,"32,798",0,"32,798","32,798",0
1月15日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾄｲｻﾞﾗｽﾍﾞ,本人*,1回,"32,619",0,"32,619","32,619",0
1月16日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾄｲｻﾞﾗｽﾍﾞ,本人*,1回,"65,368",0,"65,368","65,368",0
1月16日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾅｲﾄｳｶﾅﾓﾉ,本人*,1回,"17,054",0,"17,054","17,054",0
1月17日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｿｳｺﾞｳﾂｳﾊ,本人*,1回,"5,610",0,"5,610","5,610",0
1月17日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｸｽﾘﾉﾚﾃﾞｲ,本人*,1回,"5,934",0,"5,934","5,934",0
1月18日,,,,,,,,
2016,ﾄﾞﾗﾂｸﾞｾｶﾞﾐｶﾏﾀｴｷﾏｴ,本人*,1回,"8,812",0,"8,812","8,812",0
1月20日,,,,,,,,
回数指定払い小計,,,,,,,"217,450",0
