利用日,利用店名・商品名,利用者,支払,利用金額,手数料,支払総額,当月支払,翌月以降
,※1,※2,区分,,,,金額,繰越残高
,,,※3,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾍﾞﾋﾞｰﾖｳﾋ,本人*,1回,"2,742",0,"2,742","2,742",0
2月1日,,,,,,,,
2016,ﾔﾌ-ｳｫﾚｯﾄｹｯｻｲ ﾛﾊｺ(ｱｽｸ,本人*,1回,"6,048",0,"6,048","6,048",0
2月5日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ｼｭｯｻﾝｼﾞｭ,本人*,1回,"17,171",0,"17,171","17,171",0
2月18日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾄｲｻﾞﾗｽﾍﾞ,本人*,1回,"5,524",0,"5,524","5,524",0
2月20日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾄｲｻﾞﾗｽﾍﾞ,本人*,1回,"10,609",0,"10,609","10,609",0
2月21日,,,,,,,,
2016,ﾔﾌ-ｼｮｯﾋﾟﾝｸﾞ ﾍﾞﾋﾞｰﾖｳﾋ,本人*,1回,"5,904",0,"5,904","5,904",0
2月22日,,,,,,,,
回数指定払い小計,,,,,,,"47,998",0
